S	V	G	A	gardon
Medi	0.67	-1.38	0.89	0
Medi	0.33	-1.57	0.94	0
Medi	0.2	-1.38	-0.9	1
Medi	0	-0.83	-1.05	1
Medi	0.95	-0.55	-1.33	1
Medi	0.37	-0.73	0.46	1
Medi	0.7	-0.47	0.4	1
Medi	0.07	-0.33	0.78	0
Medi	-0.06	-1.43	-1.1	0
Medi	-0.23	-0.96	-1.17	1
Medi	0.26	-1.65	-0.37	0
Medi	0.24	-0.99	-0.37	0
Medi	1.18	-1.2	0.59	0
Medi	0.67	0.1	0.59	0
Medi	0.71	0.14	0.54	1
Medi	0.14	0.29	0.36	1
Medi	0.26	0.63	0.13	0
Medi	-1.26	-1.65	0.17	0
Medi	-1.69	-1.38	0.13	0
Medi	1.1	-0.86	0.51	0
Medi	1.26	-1.1	0.59	0
Medi	1.58	-1.48	0.74	0
Medi	0.25	-1.92	0.52	0
Medi	-0.39	1.73	-2.5	1
Medi	0.93	0.29	0.99	0
Medi	2.44	-0.38	1.33	0
Medi	0.32	-0.59	1.33	0
Medi	-0.31	1.35	-0.22	0
Medi	2.57	-0.83	1.4	0
Medi	0.49	-1.5	1.41	0
Medi	1.96	-1.3	0.92	0
Medi	2.06	-0.68	1.24	0
Medi	-0.68	1.39	-0.43	1
Medi	-0.38	0.44	0.2	0
Medi	1.51	-0.35	0.88	0
Medi	-0.38	0.51	0.27	0
Medi	-1.24	-1.13	1.1	0
Medi	-1.86	-1.92	1.37	0
Medi	-0.91	-1.29	1.13	0
Medi	0.23	-0.89	1.98	0
Medi	0.92	-0.92	1.95	0
Medi	1.17	-0.81	0.17	0
Medi	0.36	0.04	-0.9	0
Medi	-0.04	0.06	-0.96	0
Medi	1.05	-0.53	0.22	0
Medi	-0.65	-0.63	0.19	0
